time_s,x,y,psi,u,v,r,f1,f2,f3,f4
2.300039,0.17471645966300045,-0.02876418081750543,-0.07374382918358169,0.1288262719440042,0.0223293468561552,0.1000198637367498,-0.0,-0.0,0.0,0.0
2.39998,0.1982222317647641,0.001926338858725396,-0.06354428526466238,0.1442268201648209,0.0687729271704069,0.0991088581799641,3.155610680580139,3.155610680580139,6.56775027513504,5.43224972486496
2.499993,0.2130986121339079,0.005594774624342394,-0.05230860337198129,0.1438837989587485,0.0627743243059102,0.0972884130118817,3.171608805656433,3.171608805656433,8.0,4.0
2.599984,0.22991512491119592,0.033896257533411356,-0.03817815962029547,0.1515270433501365,0.1075838742212991,0.102224644193591,3.18510103225708,3.18510103225708,8.0,4.0
2.699979,0.2417895296677342,0.03063144600151313,-0.012733469359400118,0.1510055691838279,0.0840876276290913,0.1320206730411717,1.9696292281150818,1.9696292281150818,4.654721587896347,3.9247638285160065
2.800004,0.2679947290586629,0.048637690481586796,0.019000665539990802,0.1693914527428811,0.1037578074197984,0.1626151306575132,-0.0,-0.0,0.0,0.0
2.900063,0.2859594165559799,0.04468796658117047,0.051314891087250736,0.1752353165101546,0.0834065150394957,0.1905941005832094,-0.0,-0.0,0.0,0.0
3.000012,0.30641852771261313,0.06970380679590313,0.06844233656762011,0.1862636288697475,0.1077855213410238,0.1897562404169366,-0.0,-0.0,0.0,0.0
3.099969,0.32253549430003564,0.07885529413092848,0.08445054538049135,0.1857104212766978,0.1061582443889827,0.1831654721578592,-0.0,-0.0,0.0,0.0
3.199998,0.338547590527979,0.1186559836614242,0.08592823530194016,0.1883198071326834,0.1487839455614354,0.1554701210205481,4.816524267196655,4.816524267196655,5.33820778131485,4.948258340358734
3.30014,0.3461081586732632,0.1267110667134799,0.08817600467740672,0.1775761315450674,0.137261829749636,0.1344008349470685,4.6551936864852905,4.6551936864852905,7.297431826591492,3.2974318265914917
3.400111,0.37607215015176165,0.15976501635449825,0.10416066883896269,0.203224262773739,0.1643022416593643,0.1400264406635298,4.6551936864852905,4.6551936864852905,7.297431826591492,3.2974318265914917
3.500061,0.389753311404903,0.16315072813656553,0.12129857882133299,0.1985519626785495,0.1380306701291823,0.1444839046504879,3.892873764038086,3.892873764038086,7.17278778553009,4.179191946983337
3.600142,0.42234035652653723,0.17488181808515105,0.13420008823131502,0.2243501992085907,0.1366849316261694,0.1396948869289183,-0.0,-0.0,0.0,0.0
3.699965,0.4446021680190445,0.18447573757101451,0.14672796438164193,0.228219988742091,0.1254730069201837,0.1340331142501289,-0.0,-0.0,0.0,0.0
3.799967,0.46845764416436,0.20600233297591705,0.1511579414330546,0.2377100737867934,0.1340818558891357,0.1151028550385128,-0.0,-0.0,0.0,0.0
3.900006,0.48356360512795726,0.21592818222349894,0.14751338260428248,0.2332458655324445,0.1299191624007541,0.0857777978595799,-0.0,-0.0,0.0,0.0
4.00003,0.5065371656528789,0.2493701686525237,0.14466635729207855,0.2406586642851399,0.1558338214744269,0.0654292655007224,3.536481499671936,3.536481499671936,0.0,0.0
4.100063,0.5171453732515278,0.26628435563550107,0.13198967522493232,0.2285087889295931,0.1560497531807117,0.0317360025572279,5.002333760261536,5.002333760261536,0.0,0.0
4.200004,0.5482963535286551,0.289541795180976,0.12171506143635158,0.2474671247762716,0.1713812388024622,0.0057259533751109,5.647077441215515,5.647077441215515,4.725354194641113,4.725354194641113
4.300043,0.5661956244805715,0.3035975448213235,0.11302303508698541,0.245267869343284,0.160669305337804,-0.0121123510916556,3.1648625135421753,3.1648625135421753,6.0,6.0
4.399966,0.6114074253858336,0.31823112011118626,0.11381271819205274,0.2744758125946268,0.1537397728797649,-0.0063121729333834,2.471739113330841,2.471739113330841,6.0,6.0
4.50018,0.633412895739853,0.3225605380597937,0.11465405564868991,0.2789134123427522,0.1345861519215286,-0.0066543081909714,2.471739113330841,2.471739113330841,6.0,6.0
4.600033,0.6677031579738577,0.3283836414387544,0.11827730290423588,0.2916034537268214,0.1195674026964879,-0.0021015585082311,2.471739113330841,2.471739113330841,8.0,4.0
4.700083,0.6999495278488537,0.3453962944318203,0.11811676786176006,0.2949319928295016,0.1219716148194063,-0.004018724265655,2.471739113330841,2.471739113330841,8.0,4.0
4.8,0.7179124571810025,0.37971073959905643,0.1148176205077518,0.2899308890153378,0.1539602837799043,-0.0053032676125328,-0.0,-0.0,0.0,0.0
4.902938,0.7368336915034815,0.4026728207456092,0.12194491125230966,0.2878238318302301,0.1715149110911729,0.0128168460099368,-0.0,-0.0,0.0,0.0
5.000072,0.7553184909979511,0.4381737090380484,0.12007021055321987,0.2831045466499912,0.1979935404947898,0.0161912710189278,-0.0,-0.0,0.1719091534614563,-0.1719091534614563
5.100104,0.7767031010958263,0.4671975754791269,0.11985638606293403,0.2803633626501877,0.2081284750996808,0.0176986369633974,-0.0,-0.0,2.0,-2.0
5.199958,0.8136065828419983,0.49047184935940047,0.11907719342716616,0.3007331662102595,0.2116612090964363,0.0267240258924672,-0.0,-0.0,2.0,-2.0
5.300079,0.8277593463340398,0.5086562287581726,0.12068032349013968,0.2847114057296864,0.2006558895925108,0.0252338304635147,-0.0,-0.0,2.0,-2.0
5.399994,0.8571763708614777,0.5116722445756569,0.1369791317616098,0.287407684002978,0.1782757695018698,0.0467335501265832,-0.0,-0.0,2.0,-2.0
5.500153,0.8702666730129162,0.5196650728634102,0.15746605489827203,0.269208495735287,0.158872829222093,0.0746125058206063,0.0,0.0,0.0,0.0
5.599936,0.8803684639692411,0.5356841051755912,0.1823367971062262,0.2492330321662412,0.1581123281990784,0.1088798898696257,0.0,0.0,0.0,0.0
5.70005,0.8982368239195433,0.5491826058357867,0.20686138897799955,0.2427614622239062,0.1507793282775445,0.133948194510136,0.0,0.0,0.0,0.0
5.80002,0.9050128946105114,0.5796874653136371,0.22719324453660938,0.2275913243768226,0.1718492752154636,0.1461267170453719,0.0,0.0,0.0,0.0
5.899967,0.915240444534166,0.5935629458196958,0.24757098289431845,0.2162027602900862,0.1658403291821091,0.1593450117858184,-0.0,-0.0,1.9704452753067017,-1.9704452753067017
5.999994,0.924348578116829,0.6264365643611176,0.2629578774153205,0.2063451032719274,0.1841791755141355,0.1532256283251616,-0.0,-0.0,2.0,-2.0
6.099983,0.9306557322488798,0.6381256158100097,0.27757730933885094,0.1949733285600816,0.171165937237913,0.1571694777360687,-0.0,-0.0,2.0,-2.0
6.200009,0.9390045681010883,0.6484220765058155,0.30402564039625224,0.1815223213548339,0.1665584193412866,0.1803106880045479,-0.0,-0.0,2.0,-2.0
6.300058,0.951614582685725,0.6619532913509204,0.33914056594370035,0.17665398164667,0.1494275737527347,0.2065359294308493,-0.0,-0.0,2.0,-2.0
