time_s,x,y,psi,u,v,r,f1,f2,f3,f4
1.300143,-0.053700395887317225,0.007194682964789042,-0.21473329605178915,-0.0372093258553038,-0.0029432589854487,-0.1592996124135012,0.0,0.0,0.0,0.0
1.400086,-0.05941908983859381,-0.006343858481006591,-0.22998142219036044,-0.0374702775504644,-0.022896330792711,-0.1595782468660974,0.0,0.0,0.0,0.0
1.500001,-0.06450904161607442,-0.014960179369204596,-0.24644256850050006,-0.0366820584225834,-0.033594281088833,-0.1604311507823075,0.0,0.0,0.0,0.0
1.600034,-0.06883915857542237,-0.0038110031549872195,-0.26564355500325476,-0.0382700071567353,-0.0185616388503944,-0.1641002952409953,0.0,0.0,0.0,0.0
1.70003,-0.06716144611916033,0.006808581846084908,-0.2767543792790428,-0.0337673337924638,0.0034620350837676,-0.1584958597126078,0.0,0.0,0.0,0.0
1.8001,-0.07499025308342044,-0.003974039130623556,-0.2919008731101074,-0.036027047853009,-0.0169984946251492,-0.1547001764920481,0.0,0.0,0.0,0.0
1.900064,-0.07500348889767224,0.004919677980420711,-0.30466146290917706,-0.0321599202885006,-0.0013395094068185,-0.1505988653203919,0.0,0.0,0.0,0.0
2.000067,-0.08301849299806906,-0.006667678401678255,-0.31781506333566867,-0.0360850503547204,-0.0212085017201216,-0.1498362415814058,0.0,0.0,0.0,0.0
2.10007,-0.08395339021115765,0.0018086685231672988,-0.3370220659526475,-0.0337714374599359,-0.0052058452696682,-0.1553761332080155,0.0,0.0,0.0,0.0
2.200151,-0.09055774368585331,-0.0062381305402151015,-0.35243515450774465,-0.035042515796966,-0.018793311023907,-0.1539270580776937,0.0,0.0,0.0,0.0
2.30003,-0.08768405027235773,0.006386159843507804,-0.3667695510789879,-0.0294135404729807,0.0024975140819017,-0.1520249250346057,0.0,0.0,0.0,0.0
2.400025,-0.09416585522176546,-0.000698502289009818,-0.38205865935305017,-0.0299301501804948,-0.0110335033656533,-0.1495965687689538,0.0,0.0,0.0,0.0
2.500011,-0.09780230974394866,0.0067255657393736935,-0.3906365680208359,-0.0340717303394208,0.0006086445454866,-0.1394710801349341,0.0,0.0,0.0,0.0
2.60001,-0.10779556690878828,-0.006867587677557199,-0.4011816977627145,-0.0368046012175088,-0.025731970041897,-0.1374841648176433,0.0,0.0,0.0,0.0
2.732369,-0.10956111109644501,-0.0036524648129476114,-0.4144229678954452,-0.0339494934665658,-0.0166584489493764,-0.1373871298506364,0.0,0.0,0.0,0.0
2.800045,-0.11825713300004874,-0.012763096376156344,-0.42909570019665955,-0.0360512112849846,-0.0332350908783193,-0.1373280581454331,0.0,0.0,0.0,0.0
2.900069,-0.12648051756301473,-0.024421144125669772,-0.44045710537974125,-0.0375422210294723,-0.0521363631538295,-0.1366547779906447,0.0,0.0,0.0,0.0
3.000029,-0.1204743291232517,-0.016482344893225954,-0.45554351778491986,-0.0249812703504802,-0.0306456628321579,-0.1297962989894661,0.0,0.0,0.0,0.0
3.100011,-0.12725052678716575,-0.024908335269624955,-0.46551823585795526,-0.0265306208806776,-0.0435011213448576,-0.129720123171342,0.0,0.0,0.0,0.0
3.200022,-0.12238298493611556,-0.01652161380084783,-0.4806501862583117,-0.0191647151046263,-0.0255970679347906,-0.1290056792951037,0.0,0.0,0.0,0.0
3.300043,-0.126112461275774,-0.007536300144033522,-0.49695062630900555,-0.0265391546121466,-0.011214526154427,-0.1401787187175359,0.0,0.0,0.0,0.0
3.400226,-0.13369184525604583,-0.014903310461922371,-0.5087963519219216,-0.0280728818168483,-0.0257266707044864,-0.1393302956569949,0.0,0.0,0.0,0.0
3.500133,-0.14841305797764007,-0.03274585346954094,-0.5222189910167696,-0.0307527500021684,-0.0560921830467246,-0.1354177609683979,0.0,0.0,0.0,0.0
3.60004,-0.14760842315336015,-0.019369025367518156,-0.5300159453011206,-0.0344920455682376,-0.0329938001975573,-0.1301669980476019,0.0,0.0,0.0,0.0
3.700049,-0.15642930515954115,-0.027940970644996163,-0.5424026514420528,-0.0348858610462111,-0.0475055311936402,-0.129232662268786,0.0,0.0,0.0,0.0
3.800059,-0.1517029485422196,-0.013297133858763624,-0.5604744440934635,-0.031867708863146,-0.0195989674924927,-0.1326490576693197,0.0,0.0,0.0,0.0
3.900074,-0.14944627074993636,-0.006574550876272385,-0.5692517755718804,-0.0289061259956854,-0.0043203736306771,-0.125494545370563,0.0,0.0,0.0,0.0
4.000028,-0.15750092174154479,-0.013034422546941742,-0.579805855998583,-0.0307037187861874,-0.0187235506240254,-0.1244008502231904,0.0,0.0,0.0,0.0
4.100158,-0.17300400862350387,-0.0286544743755673,-0.593364229311403,-0.0333816755490746,-0.0471975419578204,-0.1227454671208658,0.0,0.0,0.0,0.0
4.200096,-0.16992615919971935,-0.017079371159070097,-0.6044206618215635,-0.0321028327455958,-0.0277463124571555,-0.1251044775576813,5.789133310317993,5.789133310317993,0.0,0.0
4.300073,-0.17983249601751347,-0.025599741581953283,-0.6147721684462653,-0.0335405029174382,-0.0443581619341497,-0.1246097890058814,6.0,6.0,0.0,0.0
4.400082,-0.17533187322024305,-0.01697572661264604,-0.6272777667946139,-0.0279579309923351,-0.0241369972907265,-0.1198168226059728,6.0,6.0,0.0,0.0
4.500128,-0.16415357972224848,-0.013921309687507065,-0.6323412105503392,-0.0095958078570312,-0.0044124985104642,-0.1075951060535488,6.0,6.0,0.0,0.0
4.600025,-0.16849660438943959,-0.027954965146058507,-0.6407575272656767,-0.0009935154625591,-0.0258177671512644,-0.1050720586266287,6.0,6.0,0.0,0.0
4.700139,-0.17025684426279647,-0.05295305825783021,-0.6524237050179758,0.0197612617463925,-0.0536688866687648,-0.1029766701767859,6.0,6.0,0.0,0.0
4.80015,-0.14275314394316355,-0.05220804247519867,-0.663018941889419,0.0556495390777758,-0.0236250681650476,-0.106464235475453,-0.0,-0.0,0.0,0.0
4.900214,-0.11716375777323698,-0.0588089592905055,-0.6696959632733357,0.0882151168050561,-0.0005099565270477,-0.0940233236232544,-0.0,-0.0,0.0,0.0
