time,.data
2025/09/16/14:09:03.900319,"(4.706079483032227, 4.706079483032227, 0.1909462809562683, 0.1909462809562683)"
2025/09/16/14:09:04.000273,"(4.706079483032227, 4.706079483032227, 0.1909462809562683, 0.1909462809562683)"
2025/09/16/14:09:04.100342,"(4.973807215690613, 4.973807215690613, 0.1909462809562683, 0.1909462809562683)"
2025/09/16/14:09:04.200303,"(4.964169502258301, 4.964169502258301, 0.06234128773212433, 0.3195512741804123)"
2025/09/16/14:09:04.300441,"(4.964169502258301, 4.964169502258301, 0.1909462809562683, 0.1909462809562683)"
2025/09/16/14:09:04.400262,"(4.964169502258301, 4.964169502258301, 0.1909462809562683, 0.1909462809562683)"
2025/09/16/14:09:04.500350,"(5.119717597961426, 5.119717597961426, 0.1909462809562683, 0.1909462809562683)"
2025/09/16/14:09:04.608435,"(5.145353078842163, 5.145353078842163, -0.22594618797302246, 0.6078387498855591)"
2025/09/16/14:09:04.700257,"(5.145353078842163, 5.145353078842163, -1.5902199149131775, 1.9721124768257141)"
2025/09/16/14:09:04.801751,"(5.145353078842163, 5.145353078842163, 0.1909462809562683, 0.1909462809562683)"
2025/09/16/14:09:04.900260,"(5.145353078842163, 5.145353078842163, 0.1909462809562683, 0.1909462809562683)"
2025/09/16/14:09:05.000415,"(5.145353078842163, 5.145353078842163, 0.1909462809562683, 0.1909462809562683)"
2025/09/16/14:09:05.100365,"(5.145353078842163, 5.145353078842163, 0.1909462809562683, 0.1909462809562683)"
2025/09/16/14:09:05.200398,"(5.145353078842163, 5.145353078842163, 0.1909462809562683, 0.1909462809562683)"
2025/09/16/14:09:05.300303,"(5.145353078842163, 5.145353078842163, 0.1909462809562683, 0.1909462809562683)"
2025/09/16/14:09:05.400368,"(5.0879141092300415, 5.0879141092300415, 0.1909462809562683, 0.1909462809562683)"
2025/09/16/14:09:05.500297,"(4.508126735687256, 4.508126735687256, 0.1909462809562683, 0.1909462809562683)"
2025/09/16/14:09:05.600359,"(4.508126735687256, 4.508126735687256, 0.1909462809562683, 0.1909462809562683)"
2025/09/16/14:09:05.700300,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:05.800280,"(4.409246921539307, 4.409246921539307, 0.1909462809562683, 0.1909462809562683)"
2025/09/16/14:09:05.900337,"(4.409246921539307, 4.409246921539307, 0.1909462809562683, 0.1909462809562683)"
2025/09/16/14:09:06.000294,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:06.103321,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:06.200353,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:06.300271,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:06.400337,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:06.500316,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:06.600291,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:06.700283,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:06.800344,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:06.903666,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:07.000330,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:07.100284,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:07.200268,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:07.300271,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:07.400468,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:07.500255,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:07.600449,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:07.701510,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:07.800298,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:07.900288,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:08.000301,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:08.100279,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:08.200400,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:08.300376,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:08.400408,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:08.500283,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:08.600317,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:08.700300,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:08.800272,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:08.900644,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:09.000428,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:09.100446,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:09.202418,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:09.302541,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:09.400287,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:09.500616,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:09.600359,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:09.700327,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:09.800252,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:09.903274,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:10.000291,"(0.0, 0.0, 0.0, 0.0)"
