time,.data
2025/09/16/13:35:24.800287,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:35:24.900308,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:35:25.000322,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:35:25.100302,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:35:25.200310,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:25.300301,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:25.403294,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:25.500350,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:25.600277,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:25.700298,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:35:25.800269,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/13:35:25.900386,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/13:35:26.000303,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/13:35:26.100306,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/13:35:26.200335,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/13:35:26.300361,"(-0.0, -0.0, -1.0681253671646118, 1.0681253671646118)"
2025/09/16/13:35:26.400265,"(-0.0, -0.0, -1.0681253671646118, 1.0681253671646118)"
2025/09/16/13:35:26.500304,"(-0.0, -0.0, -1.3461971282958984, 1.3461971282958984)"
2025/09/16/13:35:26.600277,"(-0.0, -0.0, -1.381341576576233, 1.381341576576233)"
2025/09/16/13:35:26.700255,"(-0.0, -0.0, -1.381341576576233, 1.381341576576233)"
2025/09/16/13:35:26.800290,"(-0.0, -0.0, -1.381341576576233, 1.381341576576233)"
2025/09/16/13:35:26.900274,"(-0.0, -0.0, -1.3929065465927124, 1.3929065465927124)"
2025/09/16/13:35:27.000362,"(-0.0, -0.0, -1.4014517068862915, 1.4014517068862915)"
2025/09/16/13:35:27.100307,"(-0.0, -0.0, -1.5937504768371582, 1.5937504768371582)"
2025/09/16/13:35:27.200268,"(-0.0, -0.0, -1.6033878326416016, 1.6033878326416016)"
2025/09/16/13:35:27.300307,"(-0.0, -0.0, -0.5809214115142822, 0.5809214115142822)"
2025/09/16/13:35:27.406739,"(-0.0, -0.0, -0.5809214115142822, 0.5809214115142822)"
2025/09/16/13:35:27.500298,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:27.600267,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:27.700297,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:27.800292,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:27.900261,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:28.000485,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:28.100317,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:28.206387,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:28.300498,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:28.400402,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:28.500278,"(0.39969290792942047, 0.39969290792942047, -1.6741458177566528, -1.6741458177566528)"
2025/09/16/13:35:28.600345,"(0.9147168695926666, 0.9147168695926666, -2.794014573097229, -2.794014573097229)"
2025/09/16/13:35:28.700318,"(2.071978747844696, 2.071978747844696, -6.0, -6.0)"
2025/09/16/13:35:28.800352,"(2.295181453227997, 2.295181453227997, -6.0, -6.0)"
2025/09/16/13:35:28.900408,"(2.3235154151916504, 2.3235154151916504, -6.0, -6.0)"
